n° Autos;Iti;Permissionária;TC;Denominação da Linha;Característica;Situação
1;A;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - FRANCO DA ROCHA;Semiurbana;Ativa
1;B;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - FRANCO DA ROCHA;Semiurbana;Ativa
1;C;RAPIDO LUXO CAMPINAS LTDA;1;CAMPO LIMPO PAULISTA - FRANCO DA ROCHA;Semiurbana;Ativa
1;D;RAPIDO LUXO CAMPINAS LTDA;1;JUNDIAI - FRANCO DA ROCHA;Semiurbana;Ativa
2;A;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;3;PEREIRA BARRETO - ILHA SOLTEIRA;Semiurbana;Ativa
12;A;AUTO ÔNIBUS SÃO JOÃO LTDA;2;PE DA SERRA - REGISTRO;Semiurbana;Ativa
15;A;AUTO ÔNIBUS SÃO JOÃO LTDA;2;PE DA SERRA - JUQUIA;Semiurbana;Ativa
16;A;VIAÇÃO GUAXUPE LTDA;1;MOCOCA - TAPIRATIBA;Rodoviária Convencional;Ativa
16;B;VIAÇÃO COMETA S/A;5;SOROCABA - MONGAGUA;Rodoviária Litorânea;Ativa
24;A;VIAÇÃO COMETA S/A;5;SOROCABA - MONGAGUA;Rodoviária Litorânea;Ativa
25;A;VIAÇÃO COMETA S/A;5;SAO MIGUEL ARCANJO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional;Ativa
27;A;VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;1;ITAPETININGA - IGUAPE;Rodoviária Litorânea;Ativa
28;A;AUTO ÔNIBUS SÃO JOÃO LTDA;2;SOROCABA - REGISTRO;Rodoviária Convencional;Ativa
29;A;AUTO ÔNIBUS SÃO JOÃO LTDA;2;SOROCABA - JACUPIRANGA;Rodoviária Convencional;Ativa
35;A;VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;1;JUQUIA - MIRACATU;Rodoviária Convencional;Ativa
36;A;VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;1;JUQUIA - SETE BARRAS;Rodoviária Convencional;Ativa
37;A;VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;1;ITAPETININGA - REGISTRO;Rodoviária Convencional;Ativa
38;A;AUTO ÔNIBUS SÃO JOÃO LTDA;2;SOROCABA - ILHA COMPRIDA;Rodoviária Litorânea;Ativa
39;A;VB TRANSPORTES E TURISMO LTDA;1;IRACEMAPOLIS - LIMEIRA;Rodoviária Convencional;Ativa
40;A;VB TRANSPORTES E TURISMO LTDA;1;PIRACICABA - LIMEIRA;Rodoviária Convencional;Ativa
43;A;VB TRANSPORTES E TURISMO LTDA;1;SÃO PAULO (T.TIÊTE) - RIO CLARO;Rodoviária Convencional;Ativa
44;A;VB TRANSPORTES E TURISMO LTDA;1;IPEUNA - RIO CLARO;Rodoviária Convencional;Ativa
45;A;VB TRANSPORTES E TURISMO LTDA;1;SAO PEDRO - RIO CLARO;Rodoviária Convencional;Ativa
47;A;VB TRANSPORTES E TURISMO LTDA;1;LIMEIRA - RIO CLARO;Semiurbana;Ativa
