Autos;Itinerario;Cidade Inicial da linha;Cidade Fim da linha;Permissionária;Cidade Atendida;Nome do Ponto;Latitude;Longitude
1;A;Jundiaí;Franco da Rocha;RAPIDO LUXO CAMPINAS LTDA;Jundiaí;Rua Ernesto Diederic;-23.188111;-46.878167
1;A;Jundiaí;Franco da Rocha;RAPIDO LUXO CAMPINAS LTDA;Franco da Rocha;Rua Gentil Rocha;-23.333041;-46.726474
1;B;Jundiaí;Franco da Rocha;RAPIDO LUXO CAMPINAS LTDA;Jundiaí;Av. Jundiaí;-23.190084;-46.890855
1;B;Jundiaí;Franco da Rocha;RAPIDO LUXO CAMPINAS LTDA;Franco da Rocha;Rua Gentil Rocha;-23.333007;-46.726534
1;C;Campo Limpo Paulista;Franco da Rocha;RAPIDO LUXO CAMPINAS LTDA;Campo Limpo Paulista;Av. Alfried Krupp;-23.206833;-46.784667
1;C;Campo Limpo Paulista;Franco da Rocha;RAPIDO LUXO CAMPINAS LTDA;Franco da Rocha;Rua Gentil Rocha;-23.333041;-46.726474
1;D;Jundiaí;Franco da Rocha;RAPIDO LUXO CAMPINAS LTDA;Jundiaí;Av. Jundiaí;-23.190084;-46.890855
1;D;Jundiaí;Franco da Rocha;RAPIDO LUXO CAMPINAS LTDA;Franco da Rocha;Rua Gentil Rocha;-23.333007;-46.726534
2;A;Pereira Barreto;Ilha Solteira;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;Pereira Barreto;TERMINAL RODOVIARIO;-20.645722;-51.108574
2;A;Pereira Barreto;Ilha Solteira;VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;Ilha Solteira;TERMINAL RODOVIARIO;-20.434627;-51.339469
12;A;Juquiá;Registro;AUTO ÔNIBUS SÃO JOÃO LTDA;Juquiá;DESTRITO PE DA SERRA;-24.329893;-47.631322
12;A;Juquiá;Registro;AUTO ÔNIBUS SÃO JOÃO LTDA;Juquiá;TERMINAL RODOVIARIO;-24.322150;-47.625790
12;A;Juquiá;Registro;AUTO ÔNIBUS SÃO JOÃO LTDA;Registro;TERMINAL RODOVIARIO;-24.492008;-47.837710
15;A;Mococa;Tapiratiba;VIAÇÃO GUAXUPE LTDA;Mococa;Term.Rodv.;-21.465027;-47.000069
15;A;Mococa;Tapiratiba;VIAÇÃO GUAXUPE LTDA;Mococa;Varginha;-21.450816;-46.907825
15;A;Mococa;Tapiratiba;VIAÇÃO GUAXUPE LTDA;Mococa;Igarai;-21.405166;-46.809787
15;A;Mococa;Tapiratiba;VIAÇÃO GUAXUPE LTDA;Mococa;Fazenda Itaiquara;-21.438723;-46.899910
15;A;Mococa;Tapiratiba;VIAÇÃO GUAXUPE LTDA;Tapiratiba;Term.Rodv.;-21.466947;-46.752477
16;A;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Sorocaba;Terminal Rodoviário;-23.506597;-47.456400
16;A;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;São Roque;Terminal Rodoviário;-23.531922;-47.132630
16;A;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Araçariguama;Ponto de Ônibus;-23.439915;-47.062956
16;A;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Santos;Terminal Rodoviário;-23.934903;-46.333183
16;A;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;São Vicente;Terminal Rodoviário;-23.964184;-46.391585
16;A;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Praia Grande;Terminal Tude Bastos;-23.998489;-46.414421
16;A;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Praia Grande;Terminal Vila Mirim;-24.028860;-46.495902
16;A;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Mongaguá;Terminal Rodoviário;-24.099626;-46.637258
16;B;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Sorocaba;Terminal Rodoviário;-23.506597;-47.456400
16;B;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Osasco;Terminal Rodoviário;-23.527539;-46.775461
16;B;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Diadema;Terminal Rodoviário;-23.691319;-46.589305
16;B;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Santos;Terminal Rodoviário;-23.934903;-46.333183
16;B;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;São Vicente;Terminal Rodoviário;-23.964184;-46.391585
16;B;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Praia Grande;Terminal Tude Bastos;-23.998489;-46.414421
16;B;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Praia Grande;Terminal Vila Mirim;-24.028860;-46.495902
16;B;Sorocaba;Mongaguá;VIAÇÃO COMETA S/A;Mongaguá;Terminal Rodoviário;-24.099626;-46.637258
24;A;São Miguel Arcanjo;São Paulo;VIAÇÃO COMETA S/A;São Miguel Arcanjo;Term. Rodov.;-23.884667;-47.997717
24;A;São Miguel Arcanjo;São Paulo;VIAÇÃO COMETA S/A;Pilar do Sul;Term. Rodov.;-23.811918;-47.719476
24;A;São Miguel Arcanjo;São Paulo;VIAÇÃO COMETA S/A;Salto de Pirapora;Term. Rodov.;-23.645816;-47.575510
24;A;São Miguel Arcanjo;São Paulo;VIAÇÃO COMETA S/A;Votorantim;Ponto de Ônibus;-23.543313;-47.447422
24;A;São Miguel Arcanjo;São Paulo;VIAÇÃO COMETA S/A;Sorocaba;Term. Rodov.;-23.506597;-47.456400
24;A;São Miguel Arcanjo;São Paulo;VIAÇÃO COMETA S/A;São Paulo;Term. Rodov.;-23.525016;-46.667229
27;A;Sorocaba;Jacupiranga;AUTO ÔNIBUS SÃO JOÃO LTDA;Sorocaba;TERMINAL RODOVIARIO;-23.506323;-47.456412
27;A;Sorocaba;Jacupiranga;AUTO ÔNIBUS SÃO JOÃO LTDA;Piedade;TERMINAL RODOVIARIO;-23.706892;-47.422208
27;A;Sorocaba;Jacupiranga;AUTO ÔNIBUS SÃO JOÃO LTDA;Tapiraí;TERMINAL RODOVIARIO;-23.964499;-47.506220
27;A;Sorocaba;Jacupiranga;AUTO ÔNIBUS SÃO JOÃO LTDA;Juquiá;TERMINAL RODOVIARIO;-24.321887;-47.625138
27;A;Sorocaba;Jacupiranga;AUTO ÔNIBUS SÃO JOÃO LTDA;Registro;TERMINAL RODOVIARIO;-24.492211;-47.837764
27;A;Sorocaba;Jacupiranga;AUTO ÔNIBUS SÃO JOÃO LTDA;Jacupiranga;TERMINAL RODOVIARIO;-24.701763;-48.005281
29;A;Sete Barras;Juquiá;VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;Juquiá;Juquiá 1;-24.322314;-47.625909
29;A;Sete Barras;Juquiá;VIAÇÃO PIRACEMA DE TRANSPORTE LTDA;Sete Barras;Sete Barras 1;-24.381896;-47.928841
36;A;Sorocaba;Ilha Comprida;AUTO ÔNIBUS SÃO JOÃO LTDA;Sorocaba;TERMINAL RODOVIARIO;-23.506323;-47.456412
36;A;Sorocaba;Ilha Comprida;AUTO ÔNIBUS SÃO JOÃO LTDA;Piedade;TERMINAL RODOVIARIO;-23.709965;-47.402021
36;A;Sorocaba;Ilha Comprida;AUTO ÔNIBUS SÃO JOÃO LTDA;Tapiraí;TERMINAL RODOVIARIO;-23.964499;-47.506220
36;A;Sorocaba;Ilha Comprida;AUTO ÔNIBUS SÃO JOÃO LTDA;Juquiá;TERMINAL RODOVIARIO;-24.321887;-47.625138
36;A;Sorocaba;Ilha Comprida;AUTO ÔNIBUS SÃO JOÃO LTDA;Iguape;TERMINAL RODOVIARIO;-24.695408;-47.563443
36;A;Sorocaba;Ilha Comprida;AUTO ÔNIBUS SÃO JOÃO LTDA;Ilha Comprida;TERMINAL RODOVIARIO;-24.725239;-47.530980
37;A;Piracicaba;Limeira;VB TRANSPORTES E TURISMO LTDA;Piracicaba;Term Rod Piracicaba;-22.731312;-47.647972
37;A;Piracicaba;Limeira;VB TRANSPORTES E TURISMO LTDA;Iracemápolis;Term Rod Iracemápoli;-22.584847;-47.518046
37;A;Piracicaba;Limeira;VB TRANSPORTES E TURISMO LTDA;Limeira;Term Rod Limeira;-22.565286;-47.398068
38;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;São Paulo;Term Rod Tietê;-23.516259;-46.624084
38;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Limeira;Term Rod Limeira;-22.565286;-47.398068
38;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Cordeirópolis;Term Rod Cordeirópol;-22.483057;-47.460600
38;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Santa Gertrudes;Term Rod Santa Gertr;-22.459366;-47.530443
38;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Rio Claro;Term Rod Rio Claro;-22.417076;-47.575844
39;A;São Pedro;Rio Claro;VB TRANSPORTES E TURISMO LTDA;São Pedro;Term Rod São Pedro;-22.552972;-47.910806
39;A;São Pedro;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Águas de São Pedro;Term Rod Aguas de SP;-22.600639;-47.874333
39;A;São Pedro;Rio Claro;VB TRANSPORTES E TURISMO LTDA;São Pedro;Giocondo;-22.547453;-47.828789
39;A;São Pedro;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Charqueada;Term Rod Charqueada;-22.510611;-47.773583
39;A;São Pedro;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Ipeúna;Term Rod Ipeúna;-22.433861;-47.714639
39;A;São Pedro;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Rio Claro;Term Rod Rio Claro;-22.417076;-47.575844
40;A;Limeira;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Limeira;Term Rod de Limeira;-22.565194;-47.398222
40;A;Limeira;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Cordeirópolis;Term Rod Cordeiro;-22.483000;-47.460583
40;A;Limeira;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Santa Gertrudes;Term Rod Santa Gertr;-22.459222;-47.530444
40;A;Limeira;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Rio Claro;Av Conde Francisco;-22.412472;-47.555361
43;A;Iracemápolis;Limeira;VB TRANSPORTES E TURISMO LTDA;Iracemápolis;Rua Lídia Borba;-22.595917;-47.523306
43;A;Iracemápolis;Limeira;VB TRANSPORTES E TURISMO LTDA;Limeira;Term Rod Limeira;-22.565194;-47.398222
44;A;Pirassununga;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Pirassununga;Terminal Rodoviário;-21.996139;-47.431056
44;A;Pirassununga;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Analândia;Praça Analândia;-22.127444;-47.664167
44;A;Pirassununga;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Rio Claro;Terminal Rodoviário;-22.417028;-47.575917
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;São Bernardo do Campo;Term Rod SBC;-23.698571;-46.553262
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Santo André;Term Rod Santo Andre;-23.638840;-46.537721
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;São Caetano do Sul;Term Rod SCS;-23.610155;-46.570217
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;São Paulo;Term Rod Tietê;-23.516259;-46.624084
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Jundiaí;Term Rod Jundiaí;-23.207478;-46.895607
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Campinas;Term Rod Campinas;-22.905532;-47.072915
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Limeira;Term Rod Limeira;-22.565286;-47.398068
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Cordeirópolis;Term Rod Cordeiropol;-22.483057;-47.460600
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Santa Gertrudes;Term Rod Sta Gertrud;-22.459328;-47.530465
45;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Rio Claro;Term Rod Rio Claro;-22.417076;-47.575844
47;A;Campinas;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Campinas;Term Rod Campinas;-22.905532;-47.072915
47;A;Campinas;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Limeira;Term Rod Limeira;-22.565286;-47.398068
47;A;Campinas;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Cordeirópolis;Term Rod Cordeiropol;-22.483057;-47.460600
47;A;Campinas;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Santa Gertrudes;Term Rod Sta Gertude;-22.459328;-47.530465
47;A;Campinas;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Rio Claro;Term Rod Rio Claro;-22.417076;-47.575844
49;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Osasco;Term Rod Osasco;-23.526882;-46.776380
49;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;São Paulo;Term Rod Tiete;-23.516259;-46.624084
49;A;São Paulo;Rio Claro;VB TRANSPORTES E TURISMO LTDA;Limeira;Term Rod Limeira;-22.565286;-47.398068
