PROTOCOLO,Nº SEI,DATA,PRAZO R.,LIMITE R.,SISTEMA,SUBSISTEMA,CNPJ,EMPRESA,NOME DA EMPRESA BANCO,NOME FANTASIA BANCO,ORIGEM,DESTINO,ASSUNTO,TRATADA POR:,DATA R.,DIAS R.,STATUS,ATRASO,REGIONAL,SITUAÇÃO
2024121914333021,,2024-01-02,10,2024-01-12,INTERMUNICIPAL,REGULAR,47.987.425/0001-08,CRISTALENSE TRANSPORTES E TURISMO LTDA,CRISTALENSE TRANSPORTES E TURISMO LTDA,,Franca,Ribeirão Corrente,PRESTAÇÃO DE SERVIÇO DA EMPRESA,REGULAR,2025-01-06,360.0,ATRASADO,360.0,TC1,OK
2024121909200475,,2025-01-02,10,2025-01-12,INTERMUNICIPAL,REGULAR,07.022.473/0001-39,RAPIDO FENIX VIAÇÃO LTDA,RAPIDO FENIX VIAÇÃO LTDA,,Santos,Serra Negra,ADIANTAMENTO/ATRASO DE VEÍCULO,FISCALIZAÇÃO,2025-01-27,15.0,ATRASADO,15.0,,OK
2024121916083418,,2025-01-02,10,2025-01-12,INTERMUNICIPAL,FRETAMENTO,,ABLOVEx ,,,,,ACESSIBILIDADE,FRETAMENTO,2025-01-16,4.0,ATRASADO,4.0,,OK
2024112713555819,,2025-01-02,10,2025-01-12,INTERMUNICIPAL,REGULAR,54.360.623/0001-02,VIAÇÃO PIRACICABANA S/A,VIAÇÃO PIRACICABANA S/A,PIRACICABANA,São Paulo,Peruíbe,MÁ CONDIÇÃO DE VEÍCULO,FISCALIZAÇÃO,2025-01-03,-9.0,NO PRAZO,-9.0,,OK
2024122013442688,,2025-01-02,10,2025-01-12,INTERMUNICIPAL,FRETAMENTO,58.565.771/0001-06,LIRABUS,VIAÇÃO LIRA LTDA,LIRABUSS,Campinas,Itapetininga,PRESTAÇÃO DE SERVIÇO DA EMPRESA,REGULAR,2025-01-10,-2.0,NO PRAZO,-2.0,,OK
2024122010564164,,2025-01-02,10,2025-01-12,INTERMUNICIPAL,REGULAR,61.084.018/0001-03,VIAÇÃO COMETA S/A,VIAÇÃO COMETA S/A,COMETA,Sorocaba,São Paulo,GRATUIDADE DE IDOSOS,REGULAR,2025-01-03,-9.0,NO PRAZO,-9.0,TC2,OK
2024111517301962,,2025-01-03,10,2025-01-13,INTERMUNICIPAL,REGULAR,01.339.438/0001-61,AUTO ÔNIBUS DEL OESTE LTDA - EPP,AUTO ÔNIBUS DEL OESTE LTDA - EPP,,Ribeirão Preto,Olímpia,SUPERLOTAÇÃO DE ÔNIBUS,FISCALIZAÇÃO,2025-01-16,3.0,ATRASADO,3.0,,OK
2024121902051241,,2025-01-03,10,2025-01-13,INTERMUNICIPAL,REGULAR,45.992.724/0001-05,RAPIDO LUXO CAMPINAS LTDA,RAPIDO LUXO CAMPINAS LTDA,RAPIDO CAMPINAS,Jundiaí,Campo Limpo Paulista,MÁ CONDIÇÃO DE VEÍCULO,FISCALIZAÇÃO,2025-01-20,7.0,ATRASADO,7.0,,OK
2024122316230751,,2025-01-03,10,2025-01-13,INTERMUNICIPAL,REGULAR,45.992.724/0001-05,RAPIDO LUXO CAMPINAS LTDA,RAPIDO LUXO CAMPINAS LTDA,RAPIDO CAMPINAS,Cajamar,Jundiaí,NÃO PARADA DO VEÍCULO NO PONTO,REGULAR,2025-01-16,3.0,ATRASADO,3.0,TC1,OK
2024121917293834,,2025-01-03,10,2025-01-13,INTERMUNICIPAL,REGULAR,45.992.724/0001-05,RAPIDO LUXO CAMPINAS LTDA,RAPIDO LUXO CAMPINAS LTDA,RAPIDO CAMPINAS,Itupeva,Jundiaí,SUPERLOTAÇÃO DE ÔNIBUS,FISCALIZAÇÃO,2025-01-13,0.0,NO PRAZO,0.0,,OK
