cod_municipio,populacao_residente,nome_municipio,estado
3500105,34687,Adamantina,SP
3500204,4351,Adolfo,SP
3500303,32072,Aguaí,SP
3500402,7369,Águas da Prata,SP
3500501,17930,Águas de Lindóia,SP
3500550,7177,Águas de Santa Bárbara,SP
3500600,2780,Águas de São Pedro,SP
3500709,37680,Agudos,SP
3500758,6141,Alambari,SP
3500808,4445,Alfredo Marcondes,SP
3500907,3451,Altair,SP
3501004,16818,Altinópolis,SP
3501103,3841,Alto Alegre,SP
3501152,17301,Alumínio,SP
3501202,3915,Álvares Florence,SP
3501301,27255,Álvares Machado,SP
3501400,4808,Álvaro de Carvalho,SP
3501509,2885,Alvinlândia,SP
3501608,237240,Americana,SP
3501707,33019,Américo Brasiliense,SP
3501806,5870,Américo de Campos,SP
3501905,68008,Amparo,SP
3502002,4589,Analândia,SP
3502101,59783,Andradina,SP
3502200,24022,Angatuba,SP
3502309,5674,Anhembi,SP
3502408,4023,Anhumas,SP
3502507,32569,Aparecida,SP
3502606,4086,Aparecida d'Oeste,SP
3502705,24585,Apiaí,SP
3502754,21522,Araçariguama,SP
3502804,200124,Araçatuba,SP
3502903,32443,Araçoiaba da Serra,SP
3503000,5420,Aramina,SP
3503109,6885,Arandu,SP
3503158,2330,Arapeí,SP
3503208,242228,Araraquara,SP
3503307,130866,Araras,SP
3503356,2044,Arco-Íris,SP
3503406,8130,Arealva,SP
3503505,3577,Areias,SP
3503604,10130,Areiópolis,SP
3503703,7602,Ariranha,SP
3503802,51456,Artur Nogueira,SP
3503901,86678,Arujá,SP
3503950,1842,Aspásia,SP
3504008,101409,Assis,SP
3504107,158647,Atibaia,SP
3504206,13692,Auriflama,SP
3504305,4483,Avaí,SP
3504404,11263,Avanhandava,SP
3504503,92805,Avaré,SP
3504602,27260,Bady Bassitt,SP
3504701,3887,Balbinos,SP
3504800,9596,Bálsamo,SP
3504909,9969,Bananal,SP
3505005,3531,Barão de Antonina,SP
3505104,5640,Barbosa,SP
3505203,31595,Bariri,SP
3505302,34346,Barra Bonita,SP
3505351,5179,Barra do Chapéu,SP
3505401,6876,Barra do Turvo,SP
3505500,122485,Barretos,SP
3505609,32092,Barrinha,SP
3505708,316473,Barueri,SP
3505807,21503,Bastos,SP
3505906,58402,Batatais,SP
3506003,379146,Bauru,SP
3506102,76373,Bebedouro,SP
3506201,2606,Bento de Abreu,SP
3506300,11607,Bernardino de Campos,SP
3506359,64188,Bertioga,SP
3506409,7319,Bilac,SP
3506508,118979,Birigui,SP
3506607,29683,Biritiba Mirim,SP
3506706,12978,Boa Esperança do Sul,SP
3506805,11259,Bocaina,SP
3506904,10460,Bofete,SP
3507001,61081,Boituva,SP
3507100,22006,Bom Jesus dos Perdões,SP
