CIDADE_INI,CIDADE_FIM,N_AUTOS,EMPRESA,DESCRICAO,CARACTERISTICA
ADAMANTINA,AMERICANA,7847A,EXPRESSO ADAMANTINA LTDA,TUPI PAULISTA - CAMPINAS,Rodoviária Convencional
ADAMANTINA,ARAÇATUBA,7047A,VAT  VIACAO ADAMANTINA DE TRANSPORTES LTDA ,ADAMANTINA - ARACATUBA,Rodoviária Convencional
ADAMANTINA,BASTOS,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,BAURU,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,BAURU,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,BAURU,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,BAURU,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,BAURU,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,BENTO DE ABREU,7047A,VAT  VIACAO ADAMANTINA DE TRANSPORTES LTDA ,ADAMANTINA - ARACATUBA,Rodoviária Convencional
ADAMANTINA,CAIABU,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,CAMPINAS,7847A,EXPRESSO ADAMANTINA LTDA,TUPI PAULISTA - CAMPINAS,Rodoviária Convencional
ADAMANTINA,DRACENA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,DRACENA,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,DRACENA,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,DRACENA,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,DRACENA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,DRACENA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,FLORA RICA,5888A,EXPRESSO ADAMANTINA LTDA,PACAEMBU - ADAMANTINA,Semiurbana
ADAMANTINA,FLÓRIDA PAULISTA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,FLÓRIDA PAULISTA,5888A,EXPRESSO ADAMANTINA LTDA,PACAEMBU - ADAMANTINA,Semiurbana
ADAMANTINA,FLÓRIDA PAULISTA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,FLÓRIDA PAULISTA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,GARÇA,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,GARÇA,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,GARÇA,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,GARÇA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,GARÇA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,GUARARAPES,7047A,VAT  VIACAO ADAMANTINA DE TRANSPORTES LTDA ,ADAMANTINA - ARACATUBA,Rodoviária Convencional
ADAMANTINA,HERCULÂNDIA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,IACRI,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,INDIANA,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,INDIANA,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,INÚBIA PAULISTA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,INÚBIA PAULISTA,9107A,EXPRESSO ADAMANTINA LTDA,PARAPUA - ADAMANTINA,Semiurbana
ADAMANTINA,IRAPURU,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,IRAPURU,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,IRAPURU,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,JUNQUEIRÓPOLIS,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,JUNQUEIRÓPOLIS,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,JUNQUEIRÓPOLIS,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,LIMEIRA,7847A,EXPRESSO ADAMANTINA LTDA,TUPI PAULISTA - CAMPINAS,Rodoviária Convencional
ADAMANTINA,LUCÉLIA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,LUCÉLIA,9107A,EXPRESSO ADAMANTINA LTDA,PARAPUA - ADAMANTINA,Semiurbana
ADAMANTINA,LUCÉLIA,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,LUCÉLIA,6893A,VIAÇÃO LOPES LTDA,LUCELIA - ADAMANTINA,Semiurbana
ADAMANTINA,LUCÉLIA,9496A,VIAÇÃO LOPES LTDA,LUCELIA - ADAMANTINA,Semiurbana
ADAMANTINA,LUCÉLIA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,LUCÉLIA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,MARIÁPOLIS,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,MARIÁPOLIS,8447A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - MARIAPOLIS,Semiurbana
ADAMANTINA,MARÍLIA,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,MARÍLIA,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,MARÍLIA,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,MARÍLIA,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,MARÍLIA,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
ADAMANTINA,MARÍLIA,8355E,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviário Executivo
ADAMANTINA,MARTINÓPOLIS,7084A,JANDAIA TRANSPORTES E TURISMO LTDA,CAIABU - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,MARTINÓPOLIS,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,ORIENTE,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,OSASCO,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,OSASCO,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,OSASCO,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,OSASCO,8357A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,OSASCO,8357E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,OSVALDO CRUZ,4801A,EXPRESSO ADAMANTINA LTDA,MARILIA - DRACENA,Rodoviária Convencional
ADAMANTINA,OSVALDO CRUZ,9107A,EXPRESSO ADAMANTINA LTDA,PARAPUA - ADAMANTINA,Semiurbana
ADAMANTINA,OSVALDO CRUZ,7089A,JANDAIA TRANSPORTES E TURISMO LTDA,ADAMANTINA - PRESIDENTE PRUDENTE,Semiurbana
ADAMANTINA,OSVALDO CRUZ,5081A,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviária Convencional
ADAMANTINA,OSVALDO CRUZ,5081E,VIAÇÃO PIRACICABANA S/A,ADAMANTINA - SÃO PAULO(BARRA FUNDA),Rodoviário Executivo
ADAMANTINA,OSVALDO CRUZ,5081L,VIAÇÃO PIRACICABANA S/A,TUPI PAULISTA - SÃO PAULO(BARRA FUNDA),Rodoviário Leito
ADAMANTINA,OSVALDO CRUZ,8355A,VIAÇÃO PIRACICABANA S/A,PANORAMA - BAURU,Rodoviária Convencional
